,index,Datetime,code,name,bankuai,expext
3312,1815,2025-01-27,601069,西部黄金,贵金属,2.3406239
3313,2434,2025-01-27,601512,中新集团,房地产开发,2.3396983
3314,582,2025-01-27,600235,民丰特纸,造纸印刷,2.3381054
3315,1450,2025-01-27,600575,淮河能源,物流行业,2.3377597
3316,4486,2025-01-27,688469,芯联集成-U,半导体,2.3375227
3317,548,2025-01-27,603477,巨星农牧,农牧饲渔,2.3371844
3318,2583,2025-01-27,600418,江淮汽车,汽车整车,2.3370357
3319,3504,2025-01-27,605333,沪光股份,汽车零部件,2.3366108
3320,572,2025-01-27,2069,獐子岛,农牧饲渔,2.335514
3321,2665,2025-01-27,300911,亿田智能,家电行业,2.3349018
3322,173,2025-01-27,603878,武进不锈,钢铁行业,2.33448
3323,3687,2025-01-27,603081,大丰实业,专用设备,2.333519
3324,1786,2025-01-27,516,国际医学,医疗服务,2.3325264
3325,2077,2025-01-27,603022,新通联,包装材料,2.3324296
3326,4836,2025-01-27,2534,西子洁能,电源设备,2.3319378
3327,2061,2025-01-27,601021,春秋航空,航空机场,2.3293376
3328,101,2025-01-27,600121,郑州煤电,煤炭行业,2.3292348
3329,2731,2025-01-27,2050,三花智控,家电行业,2.3287535
3330,481,2025-01-27,601368,绿城水务,公用事业,2.3261354
3331,2552,2025-01-27,600559,老白干酒,酿酒行业,2.3255348
3332,2168,2025-01-27,2649,博彦科技,互联网服务,2.3249955
3333,3549,2025-01-27,603586,金麒麟,汽车零部件,2.323936
3334,59,2025-01-27,600803,新奥股份,燃气,2.3218246
3335,4210,2025-01-27,601369,陕鼓动力,通用设备,2.3198009
3336,1543,2025-01-27,2941,新疆交建,工程建设,2.3195088
3337,1916,2025-01-27,688179,阿拉丁,化学制品,2.3189962
3338,379,2025-01-27,603378,亚士创能,装修建材,2.31881
3339,2706,2025-01-27,603579,荣泰健康,家电行业,2.3182988
3340,708,2025-01-27,603077,和邦生物,化学原料,2.318254
3341,2202,2025-01-27,688619,罗普特,互联网服务,2.3180857
3342,1251,2025-01-27,600252,中恒集团,中药,2.3172631
3343,2180,2025-01-27,2264,新 华 都,互联网服务,2.3171663
3344,975,2025-01-27,301130,西点药业,化学制药,2.3167193
3345,3100,2025-01-27,1316,润贝航科,贸易行业,2.3167088
3346,1610,2025-01-27,688319,欧林生物,生物制品,2.3165033
3347,593,2025-01-27,600963,岳阳林纸,造纸印刷,2.315791
3348,2509,2025-01-27,528,柳    工,工程机械,2.315159
3349,284,2025-01-27,603122,合富中国,医药商业,2.3125217
3350,495,2025-01-27,1376,百通能源,公用事业,2.3124828
3351,3038,2025-01-27,688777,中控技术,软件开发,2.3107603
3352,492,2025-01-27,2893,京能热力,公用事业,2.3102894
3353,3481,2025-01-27,301170,锡南科技,汽车零部件,2.3073778
3354,445,2025-01-27,1205,盛航股份,航运港口,2.3073702
3355,918,2025-01-27,603168,莎普爱思,化学制药,2.3069143
3356,2515,2025-01-27,688425,铁建重工,工程机械,2.305919
3357,684,2025-01-27,603299,苏盐井神,化学原料,2.3059025
3358,2745,2025-01-27,603060,国检集团,专业服务,2.304621
3359,1876,2025-01-27,688625,呈和科技,化学制品,2.3039923
3360,3523,2025-01-27,559,万向钱潮,汽车零部件,2.3017855
3361,1942,2025-01-27,603285,键邦股份,化学制品,2.3017302
3362,2694,2025-01-27,521,长虹美菱,家电行业,2.301015
3363,4867,2025-01-27,300627,华测导航,通信设备,2.3007705
3364,3498,2025-01-27,603949,雪龙集团,汽车零部件,2.2995234
3365,79,2025-01-27,600403,大有能源,煤炭行业,2.299407
3366,2300,2025-01-27,2557,洽洽食品,食品饮料,2.298455
3367,906,2025-01-27,300016,北陆药业,化学制药,2.2975178
3368,2387,2025-01-27,603650,彤程新材,橡胶制品,2.2974863
3369,4952,2025-01-27,603489,八方股份,电机,2.2973895
3370,1674,2025-01-27,688046,药康生物,生物制品,2.2940218
3371,3377,2025-01-27,688592,司南导航,计算机设备,2.2911355
3372,1221,2025-01-27,2873,新天药业,中药,2.2904947
3373,4738,2025-01-27,300408,三环集团,电子元件,2.2901342
3374,1443,2025-01-27,601333,广深铁路,物流行业,2.2900834
3375,2144,2025-01-27,600756,浪潮软件,互联网服务,2.289097
3376,3428,2025-01-27,603161,科华控股,汽车零部件,2.2882833
3377,4396,2025-01-27,600109,国金证券,证券,2.2867367
3378,1158,2025-01-27,688335,复洁环保,环保行业,2.286397
3379,785,2025-01-27,688139,海尔生物,医疗器械,2.285497
3380,626,2025-01-27,637,茂化实华,石油行业,2.2836506
3381,732,2025-01-27,2125,湘潭电化,化学原料,2.2829666
3382,2906,2025-01-27,600927,永安期货,多元金融,2.2827625
3383,4756,2025-01-27,600183,生益科技,电子元件,2.2822828
3384,77,2025-01-27,601918,新集能源,煤炭行业,2.2805424
3385,4394,2025-01-27,601995,中金公司,证券,2.279626
3386,1142,2025-01-27,300899,上海凯鑫,环保行业,2.2753596
3387,4722,2025-01-27,301320,豪江智能,电子元件,2.275178
3388,4287,2025-01-27,2598,山东章鼓,通用设备,2.2731721
3389,730,2025-01-27,601216,君正集团,化学原料,2.2730901
3390,3604,2025-01-27,688359,三孚新科,电子化学品,2.2721097
3391,1901,2025-01-27,301100,风光股份,化学制品,2.2717283
3392,2376,2025-01-27,2753,永东股份,橡胶制品,2.2686064
3393,3461,2025-01-27,300893,松原股份,汽车零部件,2.2670164
3394,2051,2025-01-27,600335,国机汽车,汽车服务,2.266839
3395,261,2025-01-27,600310,广西能源,电力行业,2.2663846
3396,1948,2025-01-27,300041,回天新材,化学制品,2.2642686
3397,446,2025-01-27,603167,渤海轮渡,航运港口,2.2639008
3398,4729,2025-01-27,688093,世华科技,电子元件,2.2618353
3399,2547,2025-01-27,600779,水井坊,酿酒行业,2.2616043
3400,2193,2025-01-27,600131,国网信通,互联网服务,2.2614627
