,Datetime,code,name,expext
6065,2025-01-23,301371,敷尔佳,0.023599878
6066,2025-01-27,688185,康希诺,0.023596123
6067,2025-01-24,301038,深水规院,0.023595959
6068,2025-01-27,2301,齐心集团,0.023591012
6069,2025-01-27,300587,天铁科技,0.023590937
6070,2025-01-24,688219,会通股份,0.023589045
6071,2025-01-24,301519,舜禹股份,0.023588628
6072,2025-01-23,603536,惠发食品,0.023585975
6073,2025-01-23,688105,诺唯赞,0.023581207
6074,2025-01-23,1306,夏厦精密,0.02357854
6075,2025-01-23,766,通化金马,0.023567975
6076,2025-01-27,600782,新钢股份,0.023567677
6077,2025-01-24,688707,振华新材,0.023566678
6078,2025-01-23,688335,复洁环保,0.023566395
6079,2025-01-27,300329,海伦钢琴,0.02356489
6080,2025-01-24,2240,盛新锂能,0.023563862
6081,2025-01-24,300686,智动力,0.023562655
6082,2025-01-24,603882,金域医学,0.023561522
6083,2025-01-27,300948,冠中生态,0.023559973
6084,2025-01-27,600448,华纺股份,0.023557708
6085,2025-01-24,603578,三星新材,0.023557708
6086,2025-01-27,2761,浙江建投,0.023551807
6087,2025-01-24,603818,曲美家居,0.023550749
6088,2025-01-24,2317,众生药业,0.023546606
6089,2025-01-24,601918,新集能源,0.023546115
6090,2025-01-24,603335,迪生力,0.023535699
6091,2025-01-24,601615,明阳智能,0.023534343
6092,2025-01-24,300858,科拓生物,0.023533463
6093,2025-01-24,600785,新华百货,0.023530975
6094,2025-01-27,300241,瑞丰光电,0.023528501
6095,2025-01-24,688360,德马科技,0.023527652
6096,2025-01-27,603137,恒尚节能,0.02351959
6097,2025-01-27,811,冰轮环境,0.023517728
6098,2025-01-24,66,中国长城,0.023492306
6099,2025-01-24,29,深深房Ａ,0.023489058
6100,2025-01-27,301096,百诚医药,0.023487166
6101,2025-01-24,601118,海南橡胶,0.023484737
6102,2025-01-23,300139,晓程科技,0.02348341
6103,2025-01-27,601399,国机重装,0.023474336
6104,2025-01-23,1359,平安电工,0.023473144
6105,2025-01-23,301396,宏景科技,0.023468956
6106,2025-01-23,300968,格林精密,0.023457289
6107,2025-01-27,688079,美迪凯,0.023454234
6108,2025-01-23,688333,铂力特,0.023451269
6109,2025-01-24,590,启迪药业,0.023443952
6110,2025-01-23,600100,同方股份,0.023441881
6111,2025-01-27,301086,鸿富瀚,0.023437142
6112,2025-01-24,603032,德新科技,0.023433387
6113,2025-01-27,301178,天亿马,0.023432344
6114,2025-01-23,300662,科锐国际,0.023430482
6115,2025-01-27,603757,大元泵业,0.023430124
6116,2025-01-23,1914,招商积余,0.023429781
6117,2025-01-23,300767,震安科技,0.02342482
6118,2025-01-15,688667,菱电电控,0.023424461
6119,2025-01-27,603881,数据港,0.023424342
6120,2025-01-27,601155,新城控股,0.02342172
6121,2025-01-23,2497,雅化集团,0.023417562
6122,2025-01-27,601086,国芳集团,0.023414582
6123,2025-01-27,2264,新 华 都,0.023414105
6124,2025-01-27,600616,金枫酒业,0.023413017
6125,2025-01-24,599,青岛双星,0.023412317
6126,2025-01-24,2027,分众传媒,0.023412079
6127,2025-01-24,603535,嘉诚国际,0.023410633
6128,2025-01-23,600288,大恒科技,0.02340804
6129,2025-01-23,300329,海伦钢琴,0.023404762
6130,2025-01-23,300456,赛微电子,0.023397833
6131,2025-01-24,300269,联建光电,0.023396805
6132,2025-01-27,603396,金辰股份,0.023392946
6133,2025-01-24,810,创维数字,0.023392767
6134,2025-01-24,600791,京能置业,0.023389295
6135,2025-01-24,600201,生物股份,0.02338855
6136,2025-01-24,600100,同方股份,0.023373976
6137,2025-01-27,601696,中银证券,0.023370877
6138,2025-01-23,688707,振华新材,0.0233614
6139,2025-01-24,300762,上海瀚讯,0.023357287
6140,2025-01-27,603697,有友食品,0.023352325
6141,2025-01-24,2663,普邦股份,0.023346111
6142,2025-01-27,300686,智动力,0.023345709
6143,2025-01-23,2056,横店东磁,0.023341298
6144,2025-01-27,688170,德龙激光,0.023332983
6145,2025-01-27,603607,京华激光,0.023332566
6146,2025-01-24,688168,安博通,0.023329973
6147,2025-01-27,898,鞍钢股份,0.023328602
6148,2025-01-23,603901,永创智能,0.023319513
6149,2025-01-24,600310,广西能源,0.023316711
6150,2025-01-23,601798,蓝科高新,0.02331543
6151,2025-01-27,603098,森特股份,0.02330698
6152,2025-01-24,600822,上海物贸,0.023303792
6153,2025-01-24,600657,信达地产,0.023303553
6154,2025-01-27,603160,汇顶科技,0.023302257
6155,2025-01-23,600693,东百集团,0.023300245
6156,2025-01-24,159,国际实业,0.02329944
6157,2025-01-24,301255,通力科技,0.023295462
6158,2025-01-27,601336,新华保险,0.023288101
6159,2025-01-24,600288,大恒科技,0.023283228
6160,2025-01-24,688011,新光光电,0.02328296
6161,2025-01-23,688298,东方生物,0.023282573
6162,2025-01-24,600743,华远地产,0.023280933
6163,2025-01-24,2487,大金重工,0.023280248
6164,2025-01-23,600818,中路股份,0.023278266
6165,2025-01-24,2992,宝明科技,0.023268357
6166,2025-01-23,601778,晶科科技,0.023267686
6167,2025-01-27,300014,亿纬锂能,0.023264796
6168,2025-01-27,29,深深房Ａ,0.023263514
6169,2025-01-27,600121,郑州煤电,0.023263216
6170,2025-01-24,603679,华体科技,0.023261487
6171,2025-01-24,2405,四维图新,0.02324678
6172,2025-01-27,32,深桑达Ａ,0.023245886
6173,2025-01-23,1269,欧晶科技,0.023242235
6174,2025-01-27,603045,福达合金,0.023237616
6175,2025-01-24,688721,龙图光罩,0.023235664
6176,2025-01-24,300134,大富科技,0.023234263
6177,2025-01-24,301075,多瑞医药,0.02323392
6178,2025-01-24,2672,东江环保,0.023230806
6179,2025-01-24,2440,闰土股份,0.023226455
6180,2025-01-27,2643,万润股份,0.023224458
6181,2025-01-23,571,新大洲A,0.023219317
6182,2025-01-27,301589,诺瓦星云,0.023216695
6183,2025-01-23,300405,科隆股份,0.023214236
6184,2025-01-27,603708,家家悦,0.023210749
6185,2025-01-24,600419,天润乳业,0.02320829
6186,2025-01-24,603016,新宏泰,0.023207024
6187,2025-01-27,2607,中公教育,0.023203522
6188,2025-01-27,688238,和元生物,0.023202732
6189,2025-01-23,603936,博敏电子,0.023197547
6190,2025-01-24,688279,峰岹科技,0.023197189
6191,2025-01-24,2966,苏州银行,0.023197144
6192,2025-01-27,600958,东方证券,0.023193419
6193,2025-01-24,300353,东土科技,0.023185402
6194,2025-01-27,301322,绿通科技,0.023183644
6195,2025-01-24,603877,太平鸟,0.023180038
6196,2025-01-24,301176,逸豪新材,0.023177564
6197,2025-01-24,701,厦门信达,0.02317679
6198,2025-01-23,300328,宜安科技,0.02317369
6199,2025-01-24,301102,兆讯传媒,0.023172036
6200,2025-01-24,300434,金石亚药,0.023170114
6201,2025-01-23,601698,中国卫通,0.023169428
6202,2025-01-23,601890,亚星锚链,0.023168772
6203,2025-01-24,301155,海力风电,0.023167893
6204,2025-01-23,2241,歌尔股份,0.023165807
6205,2025-01-23,600748,上实发展,0.023162812
6206,2025-01-24,601001,晋控煤业,0.023158252
6207,2025-01-23,301558,三态股份,0.02315639
6208,2025-01-23,2460,赣锋锂业,0.023153782
6209,2025-01-27,300140,节能环境,0.0231449
6210,2025-01-24,300886,华业香料,0.023144677
6211,2025-01-27,300831,派瑞股份,0.023144558
6212,2025-01-27,300422,博世科,0.023142666
6213,2025-01-22,300065,海兰信,0.023137063
6214,2025-01-24,300599,雄塑科技,0.023137048
6215,2025-01-24,600276,恒瑞医药,0.023136899
6216,2025-01-24,524,岭南控股,0.023133218
6217,2025-01-24,600619,海立股份,0.023129076
6218,2025-01-27,300018,中元股份,0.02312018
6219,2025-01-24,2541,鸿路钢构,0.02311802
6220,2025-01-24,688387,信科移动-U,0.023113698
6221,2025-01-27,600366,宁波韵升,0.023110852
6222,2025-01-23,600973,宝胜股份,0.023104697
6223,2025-01-27,2537,海联金汇,0.0231044
6224,2025-01-23,688368,晶丰明源,0.023103029
6225,2025-01-23,300369,绿盟科技,0.023099363
6226,2025-01-23,2138,顺络电子,0.02309589
6227,2025-01-24,300485,赛升药业,0.023093417
6228,2025-01-24,603997,继峰股份,0.023091406
6229,2025-01-27,603324,盛剑科技,0.023090959
6230,2025-01-23,600702,舍得酒业,0.02309081
6231,2025-01-24,301333,诺思格,0.023085713
6232,2025-01-24,600316,洪都航空,0.023075119
6233,2025-01-23,688779,五矿新能,0.023072883
6234,2025-01-24,2792,通宇通讯,0.023072422
6235,2025-01-27,2668,TCL智家,0.023069441
6236,2025-01-23,300684,中石科技,0.023068145
6237,2025-01-24,301188,力诺药包,0.023066878
6238,2025-01-23,300998,宁波方正,0.02306217
6239,2025-01-27,688247,宣泰医药,0.02305977
6240,2025-01-27,300885,海昌新材,0.023051187
6241,2025-01-27,886,海南高速,0.023050413
6242,2025-01-27,603699,纽威股份,0.0230501
6243,2025-01-24,600679,上海凤凰,0.02304706
6244,2025-01-23,600642,申能股份,0.0230411
6245,2025-01-24,603026,石大胜华,0.023038521
6246,2025-01-23,301536,星宸科技,0.023036763
6247,2025-01-23,300434,金石亚药,0.0230356
6248,2025-01-27,605296,神农集团,0.023030505
6249,2025-01-27,605028,世茂能源,0.023029849
6250,2025-01-27,600561,江西长运,0.023029476
6251,2025-01-27,600738,丽尚国潮,0.023027793
6252,2025-01-23,600828,茂业商业,0.023027658
6253,2025-01-23,688584,上海合晶,0.02301918
6254,2025-01-24,301587,中瑞股份,0.023017317
6255,2025-01-24,300111,向日葵,0.023016974
6256,2025-01-24,300132,青松股份,0.02301237
6257,2025-01-24,300631,久吾高科,0.023001447
6258,2025-01-27,688088,虹软科技,0.022998348
6259,2025-01-24,688568,中科星图,0.022996247
6260,2025-01-24,688060,云涌科技,0.022989959
6261,2025-01-23,600686,金龙汽车,0.022984102
6262,2025-01-27,626,远大控股,0.02298206
6263,2025-01-23,600383,金地集团,0.022981822
6264,2025-01-24,2248,华东数控,0.022974089
6265,2025-01-24,688525,佰维存储,0.022968143
6266,2025-01-23,300855,图南股份,0.022962987
6267,2025-01-24,600969,郴电国际,0.022947267
6268,2025-01-27,300111,向日葵,0.022942618
