,Datetime,code,name,bankuai,optimistic,pessimistic
105,2025-01-27,SZ.ZB_002530,金财互联,互联网服务,9.466158,-5.2024236
106,2025-01-27,SH.KC_688511,天微电子,电子元件,9.451877,-1.3102655
107,2025-01-27,SH.KC_301157,华塑科技,计算机设备,9.382148,-3.4721055
108,2025-01-27,SH.KC_688095,福昕软件,软件开发,9.380333,-5.3734913
109,2025-01-27,SH.ZB_603598,引力传媒,文化传媒,9.344591,-6.2031403
110,2025-01-27,SH.ZB_603177,德创环保,环保行业,9.32161,-0.9280648
111,2025-01-27,SZ.ZB_002861,瀛通通讯,消费电子,9.321494,-6.61402
112,2025-01-27,SZ.ZB_002760,凤形股份,通用设备,9.296801,-3.0011284
113,2025-01-27,SH.KC_301018,申菱环境,专用设备,9.277294,-3.5245075
114,2025-01-27,SH.ZB_603101,汇嘉时代,商业百货,9.27284,-1.7090834
115,2025-01-27,SZ.ZB_000627,天茂集团,保险,9.262247,-5.409927
116,2025-01-27,SZ.ZB_000573,粤宏远Ａ,房地产开发,9.260525,-8.812108
117,2025-01-27,SZ.ZB_000010,美丽生态,工程建设,9.249042,-3.8162806
118,2025-01-27,SH.KC_688429,时创能源,光伏设备,9.242873,-2.7766728
119,2025-01-27,SH.KC_300378,鼎捷数智,软件开发,9.242,-5.8157024
120,2025-01-27,SZ.ZB_002762,金发拉比,纺织服装,9.227456,-1.2759683
121,2025-01-27,SH.KC_300479,神思电子,计算机设备,9.204798,-3.329419
122,2025-01-27,SZ.ZB_002549,凯美特气,化学制品,9.202321,-3.4343574
123,2025-01-27,SH.ZB_603015,弘讯科技,专用设备,9.199606,-3.6159437
124,2025-01-27,SZ.ZB_000795,英洛华,小金属,9.183089,-2.9884803
125,2025-01-27,SH.ZB_603716,塞力医疗,医药商业,9.181677,-3.3239007
126,2025-01-27,SH.KC_300561,汇金科技,软件开发,9.102328,-3.8256607
127,2025-01-27,SH.ZB_600355,精伦电子,通信设备,9.102156,-1.0526812
128,2025-01-27,SH.ZB_600693,东百集团,商业百货,9.090413,-3.6129222
129,2025-01-27,SH.ZB_600405,动力源,电源设备,9.03412,-2.0429685
130,2025-01-27,SZ.ZB_002068,黑猫股份,橡胶制品,8.979527,-2.2750027
131,2025-01-27,SZ.ZB_002733,雄韬股份,电池,8.977373,-3.8091276
132,2025-01-27,SH.ZB_603800,洪田股份,专用设备,8.9175625,-3.2784092
133,2025-01-27,SH.KC_300377,赢时胜,软件开发,8.880835,-2.2942472
134,2025-01-27,SZ.ZB_003015,日久光电,光学光电子,8.8424225,-4.651453
135,2025-01-27,SZ.ZB_001282,三联锻造,汽车零部件,8.842198,-6.106428
136,2025-01-27,SH.KC_300697,电工合金,有色金属,8.805318,-6.499358
137,2025-01-27,SH.ZB_605069,正和生态,环保行业,8.767207,-3.5700293
138,2025-01-27,SH.KC_300276,三丰智能,专用设备,8.743461,-3.7218618
139,2025-01-27,SZ.ZB_002184,海得控制,专用设备,8.70925,-2.4971895
140,2025-01-27,SH.ZB_600423,柳化股份,化学原料,8.703192,-1.335408
141,2025-01-27,SH.KC_301600,慧翰股份,通信设备,8.698048,-3.574803
142,2025-01-27,SH.KC_300154,瑞凌股份,通用设备,8.688696,-2.4997048
143,2025-01-27,SH.KC_300688,创业黑马,教育,8.678161,-4.5234966
144,2025-01-27,SH.ZB_603429,集友股份,造纸印刷,8.633687,-4.009267
145,2025-01-27,SH.ZB_603838,四通股份,装修建材,8.6303425,-1.8123888
146,2025-01-27,SH.KC_301288,清研环境,环保行业,8.625631,0.08230116
147,2025-01-27,SH.KC_300792,壹网壹创,互联网服务,8.619504,-3.4084504
148,2025-01-27,SH.ZB_600198,大唐电信,通信设备,8.607467,-1.7432458
149,2025-01-27,SH.KC_688085,三友医疗,医疗器械,8.6046295,-2.2121785
150,2025-01-27,SZ.ZB_001236,弘业期货,多元金融,8.576931,-4.0225344
151,2025-01-27,SH.KC_300798,锦鸡股份,化学制品,8.521144,-3.6306396
152,2025-01-27,SH.KC_300242,佳云科技,文化传媒,8.487185,-3.0988226
153,2025-01-27,SZ.ZB_002657,中科金财,互联网服务,8.482282,-4.183312
154,2025-01-27,SH.ZB_605179,一鸣食品,食品饮料,8.457314,-4.330082
155,2025-01-27,SH.KC_300250,初灵信息,互联网服务,8.434914,-3.9930735
156,2025-01-27,SZ.ZB_002693,双成药业,生物制品,8.404944,-1.1985846
157,2025-01-27,SH.KC_688369,致远互联,软件开发,8.3804,-4.778544
158,2025-01-27,SZ.ZB_002134,天津普林,电子元件,8.325834,-3.163889
159,2025-01-27,SH.KC_301082,久盛电气,电网设备,8.311536,-2.6718183
160,2025-01-27,SH.KC_300985,致远新能,通用设备,8.25191,-2.7250392
161,2025-01-27,SZ.ZB_002291,遥望科技,互联网服务,8.249731,-2.0193644
162,2025-01-27,SZ.ZB_002229,鸿博股份,造纸印刷,8.236496,-2.072876
163,2025-01-27,SH.ZB_600446,金证股份,互联网服务,8.21717,-1.7152141
164,2025-01-27,SH.KC_300812,易天股份,消费电子,8.205511,-2.3831937
165,2025-01-27,SZ.ZB_002403,爱仕达,家电行业,8.178414,-3.101792
166,2025-01-27,SH.ZB_600802,福建水泥,水泥建材,8.169858,-3.6664934
167,2025-01-27,SH.ZB_600610,中毅达,化学原料,8.151512,-2.3764799
168,2025-01-27,SH.KC_688717,艾罗能源,光伏设备,8.148141,-3.7176955
169,2025-01-27,SH.KC_300170,汉得信息,互联网服务,8.1293,-9.385996
170,2025-01-27,SH.KC_301336,趣睡科技,家用轻工,8.10567,-5.6533656
171,2025-01-27,SH.ZB_603079,圣达生物,化学制品,8.104934,-3.2225554
172,2025-01-27,SH.KC_300299,富春股份,游戏,8.095913,-3.3228912
173,2025-01-27,SH.KC_300211,亿通科技,通信服务,8.083008,-2.8939598
174,2025-01-27,SH.ZB_600692,亚通股份,房地产开发,8.08203,-2.6878426
175,2025-01-27,SH.ZB_603978,深圳新星,有色金属,8.079852,-2.7237422
176,2025-01-27,SZ.ZB_002175,东方智造,仪器仪表,8.079033,-3.3275154
177,2025-01-27,SH.KC_688691,灿芯股份,半导体,8.065377,-2.3748705
178,2025-01-27,SZ.ZB_002640,跨境通,贸易行业,8.053054,-2.3629665
179,2025-01-23,SH.KC_688350,富淼科技,化学制品,8.0501,-4.2009373
180,2025-01-27,SZ.ZB_002009,天奇股份,专用设备,8.045028,-3.5197496
181,2025-01-27,SH.ZB_600626,申达股份,汽车零部件,8.044078,-2.5496218
182,2025-01-27,SH.ZB_605081,太和水,环保行业,8.040126,-0.58974975
183,2025-01-27,SH.ZB_603389,亚振家居,装修建材,8.036201,-1.540798
184,2025-01-27,SH.ZB_603718,海利生物,农药兽药,8.031939,-3.7415364
185,2025-01-27,SZ.ZB_002552,宝鼎科技,通用设备,8.025031,-2.5717237
186,2025-01-27,SZ.ZB_002453,华软科技,化学制品,8.012937,-5.5819235
187,2025-01-27,SH.KC_300084,海默科技,采掘行业,8.005808,-3.261872
188,2025-01-27,SZ.ZB_001309,德明利,半导体,8.00009,-4.1435933
189,2025-01-27,SH.KC_688226,威腾电气,电网设备,7.9879837,-5.632446
190,2025-01-27,SZ.ZB_000659,珠海中富,包装材料,7.987903,-1.8066094
191,2025-01-27,SZ.ZB_002354,天娱数科,互联网服务,7.9785123,-3.710603
192,2025-01-27,SH.KC_301061,匠心家居,家电行业,7.9732018,-5.4373565
193,2025-01-27,SH.KC_301001,凯淳股份,互联网服务,7.971482,-4.823517
194,2025-01-27,SH.KC_300537,广信材料,电子化学品,7.9655604,-1.5336236
195,2025-01-27,SZ.ZB_002583,海能达,通信设备,7.951592,-3.0012598
196,2025-01-27,SH.KC_301024,霍普股份,工程建设,7.946266,-3.05044
197,2025-01-27,SH.KC_688502,茂莱光学,光学光电子,7.937272,-3.9819882
198,2025-01-27,SH.ZB_603615,茶花股份,塑料制品,7.9296575,-4.0149546
199,2025-01-27,SH.KC_301037,保立佳,化学制品,7.904561,-2.3557384
200,2025-01-27,SH.KC_688400,凌云光,专用设备,7.903095,-5.2248454
201,2025-01-27,SH.ZB_600824,益民集团,商业百货,7.8768415,-2.1563768
202,2025-01-27,SH.ZB_600053,九鼎投资,多元金融,7.875608,-2.8752525
203,2025-01-13,SH.KC_688073,毕得医药,生物制品,7.853289,-3.9577193
204,2025-01-27,SH.ZB_603880,南卫股份,医疗器械,7.8452005,-4.1131563
205,2025-01-27,SH.KC_300753,爱朋医疗,医疗器械,7.8405457,-3.2329698
206,2025-01-27,SZ.ZB_001366,播恩集团,农牧饲渔,7.8287644,-3.9152794
207,2025-01-27,SZ.ZB_002187,广百股份,商业百货,7.764189,-2.1438332
208,2025-01-27,SH.KC_300949,奥雅股份,工程咨询服务,7.7529774,-2.9121463
209,2025-01-27,SH.KC_688766,普冉股份,半导体,7.742922,-3.8949587
210,2025-01-27,SZ.ZB_000158,常山北明,综合行业,7.710318,-2.267194
211,2025-01-27,SH.KC_301315,威士顿,软件开发,7.7067537,-4.1772423
212,2025-01-27,SH.KC_301220,亚香股份,化学制品,7.696493,-6.077317
213,2025-01-27,SH.KC_688313,仕佳光子,通信设备,7.6847987,-5.828957
214,2025-01-27,SH.KC_300435,中泰股份,燃气,7.6789694,-3.4659476
215,2025-01-27,SZ.ZB_003030,祖名股份,食品饮料,7.6650186,-2.0169313
216,2025-01-27,SH.KC_300085,银之杰,软件开发,7.6582747,-2.5249572
217,2025-01-27,SH.KC_300399,天利科技,互联网服务,7.6450663,-4.3534994
218,2025-01-27,SH.ZB_605338,巴比食品,食品饮料,7.6364355,-2.989024
219,2025-01-27,SH.KC_688115,思林杰,仪器仪表,7.6186643,-2.4927866
220,2025-01-27,SH.KC_300386,飞天诚信,软件开发,7.5946198,-3.396346
221,2025-01-27,SH.ZB_603200,上海洗霸,环保行业,7.5913982,-3.9661303
222,2025-01-27,SH.KC_688512,慧智微-U,半导体,7.584332,-3.0800893
223,2025-01-27,SZ.ZB_002256,兆新股份,电网设备,7.554774,-2.2315652
224,2025-01-27,SH.KC_688228,开普云,互联网服务,7.5382338,-4.0047417
225,2025-01-27,SZ.ZB_002717,岭南股份,环保行业,7.5261397,-2.2649999
226,2025-01-27,SH.ZB_603499,翔港科技,造纸印刷,7.5174017,-4.318644
227,2025-01-27,SH.KC_300733,西菱动力,汽车零部件,7.509939,-4.4210076
228,2025-01-27,SH.KC_300068,南都电源,电池,7.5058026,-1.4920392
229,2025-01-27,SZ.ZB_000509,华塑控股,光学光电子,7.4976163,-2.9063349
230,2025-01-27,SH.KC_688320,禾川科技,仪器仪表,7.485877,-4.076701
231,2025-01-27,SH.KC_301536,星宸科技,半导体,7.477148,-5.03316
232,2025-01-27,SZ.ZB_002542,中化岩土,工程建设,7.4558897,-1.9026542
233,2025-01-27,SH.KC_301123,奕东电子,消费电子,7.450612,-3.048046
234,2025-01-27,SH.ZB_603106,恒银科技,计算机设备,7.4459777,-3.4888723
235,2025-01-27,SZ.ZB_002313,日海智能,通信设备,7.445069,-2.7180798
236,2025-01-27,SH.KC_301183,东田微,光学光电子,7.4293866,-3.1360793
237,2025-01-27,SZ.ZB_002137,实益达,电子元件,7.376222,-3.0055208
238,2025-01-27,SH.ZB_600800,渤海化学,化学制品,7.37219,-2.0874648
239,2025-01-27,SH.KC_301076,新瀚新材,化学原料,7.3466854,-4.7962914
240,2025-01-27,SH.KC_301556,托普云农,软件开发,7.34203,-4.8571024
241,2025-01-27,SH.KC_300080,易成新能,通用设备,7.340844,-2.1768324
242,2025-01-27,SH.KC_300656,民德电子,电子元件,7.335587,-2.3117726
243,2025-01-27,SZ.ZB_002495,佳隆股份,食品饮料,7.2965994,-3.1442869
244,2025-01-27,SZ.ZB_002098,浔兴股份,纺织服装,7.294111,-3.1632807
245,2025-01-27,SH.ZB_600094,大名城,房地产开发,7.289697,-2.0741224
246,2025-01-27,SH.ZB_603665,康隆达,纺织服装,7.2716312,-4.744672
247,2025-01-27,SH.KC_688244,永信至诚,软件开发,7.2315083,-3.3282387
248,2025-01-27,SH.KC_300827,上能电气,光伏设备,7.2184997,-1.1464677
249,2025-01-27,SH.ZB_600868,梅雁吉祥,电力行业,7.2053475,-4.102088
250,2025-01-27,SH.KC_301152,天力锂能,电池,7.1453466,-1.6813941
251,2025-01-27,SH.KC_300173,福能东方,专用设备,7.144813,-2.4827807
252,2025-01-27,SH.KC_300460,惠伦晶体,电子元件,7.1435494,-2.2694013
253,2025-01-27,SH.KC_688365,光云科技,互联网服务,7.13353,-4.2990165
254,2025-01-27,SH.ZB_600881,亚泰集团,水泥建材,7.132642,-1.837038
255,2025-01-27,SH.KC_300289,利德曼,医疗器械,7.132496,-3.3011808
256,2025-01-27,SH.KC_300229,拓尔思,软件开发,7.12371,-3.0452707
257,2025-01-27,SH.KC_300044,赛为智能,互联网服务,7.1172132,-2.3641202
258,2025-01-27,SH.KC_300901,中胤时尚,纺织服装,7.1153655,-2.7098806
259,2025-01-27,SZ.ZB_000702,正虹科技,农牧饲渔,7.0879145,-3.018949
260,2025-01-27,SZ.ZB_001301,尚太科技,非金属材料,7.076518,-1.9706212
261,2025-01-27,SZ.ZB_002449,国星光电,光学光电子,7.0737615,-2.7156765
262,2025-01-27,SH.KC_301129,瑞纳智能,仪器仪表,7.071544,-2.0471957
263,2025-01-27,SZ.ZB_002047,宝鹰股份,装修装饰,7.066448,-2.6929824
264,2025-01-27,SH.ZB_600172,黄河旋风,非金属材料,7.0664153,-2.2693174
265,2025-01-27,SH.ZB_600751,海航科技,航运港口,7.062556,-2.7938426
266,2025-01-27,SZ.ZB_000526,学大教育,教育,7.054354,-3.3674605
