,index,Datetime,code,name,bankuai,expext
3424,4739,2025-01-27,301282,金禄电子,电子元件,-3.2014608
3425,1610,2025-01-27,688319,欧林生物,生物制品,-3.2016468
3426,2152,2025-01-27,603613,国联股份,互联网服务,-3.2019846
3427,3638,2025-01-27,301053,远信工业,专用设备,-3.2020292
3428,3294,2025-01-27,300265,通光线缆,电网设备,-3.202045
3429,1422,2025-01-27,793,华闻集团,文化传媒,-3.2021067
3430,643,2025-01-27,1323,慕思股份,家用轻工,-3.2028265
3431,4797,2025-01-27,300903,科翔股份,电子元件,-3.2029808
3432,916,2025-01-27,688221,前沿生物-U,化学制药,-3.2033057
3433,2626,2025-01-27,300487,蓝晓科技,塑料制品,-3.203996
3434,440,2025-01-27,935,四川双马,水泥建材,-3.2046895
3435,3401,2025-01-27,1260,坤泰股份,汽车零部件,-3.2047212
3436,497,2025-01-27,605162,新中港,公用事业,-3.2051902
3437,1777,2025-01-27,600721,百花医药,医疗服务,-3.2054353
3438,1432,2025-01-27,2654,万润科技,文化传媒,-3.2057405
3439,4795,2025-01-27,2636,金安国纪,电子元件,-3.205818
3440,4242,2025-01-27,2480,新筑股份,通用设备,-3.2059393
3441,4392,2025-01-27,2926,华西证券,证券,-3.206151
3442,974,2025-01-27,300363,博腾股份,化学制药,-3.206375
3443,3722,2025-01-27,301200,大族数控,专用设备,-3.207054
3444,1414,2025-01-27,603466,风语筑,文化传媒,-3.2070935
3445,2044,2025-01-27,300337,银邦股份,有色金属,-3.2071953
3446,3502,2025-01-27,603768,常青股份,汽车零部件,-3.207383
3447,41,2025-01-27,601818,光大银行,银行,-3.2076042
3448,2905,2025-01-27,415,渤海租赁,多元金融,-3.2077284
3449,3526,2025-01-27,600218,全柴动力,汽车零部件,-3.207857
3450,4919,2025-01-27,300629,新劲刚,通信设备,-3.2079573
3451,1851,2025-01-27,301300,远翔新材,化学制品,-3.2081556
3452,4675,2025-01-27,300136,信维通信,消费电子,-3.2082598
3453,3410,2025-01-27,605088,冠盛股份,汽车零部件,-3.209341
3454,3930,2025-01-27,688307,中润光学,光学光电子,-3.2103233
3455,4907,2025-01-27,301307,美利信,通信设备,-3.2108693
3456,2162,2025-01-27,555,神州信息,互联网服务,-3.2111123
